,artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists
510,Chynna,spotify:track:4NPbQGqPwjpLkgu28AYjOA,spotify:artist:41TSOINjztNAFtwuGenWVA,bets,spotify:album:4FsH8LooSRDH53HhEPe8hz,138612,music 2 die 2,Chynna
511,Cara Delevingne,spotify:track:2oG6KxenlD7xNmzUGZY9xD,spotify:artist:4sv0K6oriSqkSI5O9bQbmd,"I Feel Everything - From ""Valerian and the City of a Thousand Planets""",spotify:album:28Hb0B0RZsMGA386iCx4Mj,182760,"I Feel Everything (From ""Valerian and the City of a Thousand Planets"")",Cara Delevingne
512,Ria Mae,spotify:track:20PcmTRTw6CPlMYRiSCtd5,spotify:artist:3QvuHlyW42Ei3AyGOO4AMT,Girlfriend - Stripped Down,spotify:album:5wyfggn0KUKcXcByx1cbAk,186144,Girlfriend (Stripped Down),Ria Mae
513,Ängie,spotify:track:0LLnI7kJ6FSwomGoWIx01U,spotify:artist:3pgtze01npIBY3DCDD5flw,Housewife Spliffin',spotify:album:6GGNIAmN6fUT5JEflIF8CC,201733,Housewife Spliffin',Ängie
514,The Blow,spotify:track:2nyuP0aVQ4mdGM5VE7AbsN,spotify:artist:3VNDPLoRirZi28lxSEYkZQ,"""Come On Petunia""",spotify:album:2XDq3rvACjwYoiSI5Be3BE,226786,Poor Aim: Love Songs,The Blow
515,Syd,spotify:track:0IaiJbZebXLqfetAkMEZzU,spotify:artist:3jk39CGeaaSO3FPKNx1RUx,Body,spotify:album:59Bbr32pMTFHlUb8Nv1Kr0,262053,Fin,Syd
516,Lowell,spotify:track:0CatI2bU3aCGe05pJsPGuF,spotify:artist:3MJ2o2vTovueQARKmOzHls,Cloud 69,spotify:album:10uoDqvsI31bw5oouIbsWr,222973,We Loved Her Dearly,Lowell
517,Soko,spotify:track:7dnrJItpF3gZ1OkmH4wUW6,spotify:artist:4Q3f2YYH4gQxWFS3WY5G3j,First Love Never Die,spotify:album:3cHXwn0MrO70sTxVRY5mij,262226,I Thought I Was An Alien,Soko
518,Kaki King,spotify:track:2IeOgn7m7SnlAE5fquVutV,spotify:artist:1s2pki7lATUaBOL76E3vCV,I Think She Knows,spotify:album:2DWzJZWQBEttYUP8X9bDUG,184813,Guilt By Association Vol. 2,Kaki King
519,Missy Higgins,spotify:track:2mjwGMDY5Io7GtGfAn00LL,spotify:artist:6aP8ry8w3bSNyfyqhE8rGf,Secret,spotify:album:5a0yup4Q20b2TxoW5dWKI3,248480,On A Clear Night (Deluxe),Missy Higgins
520,Maris,spotify:track:5gOk0ahAp9m0qJgrPnte7y,spotify:artist:09bKmqPEgvIbqhkiO7fIU6,Boys,spotify:album:58bMYyOTOielgUowqZuBw3,179813,Boys,Maris
521,Shura,spotify:track:2ylVfK4pVfeSV4zxieyT2B,spotify:artist:1qpR5mURxk3d8f6mww6uKT,Touch,spotify:album:2igeHhP9UZ7ko10H1K0DbP,214555,Nothing's Real,Shura
522,Dream Wife,spotify:track:6nVEkpMdoxA1xjcur12B7V,spotify:artist:2DaP4uXwKOXAaD77XokW9a,Somebody,spotify:album:5ALipDbGrV5mJxJqt1MNN1,209947,Dream Wife,Dream Wife
523,Lauren Ruth Ward,spotify:track:4s25mRE55lYB4pYXRdlhxw,spotify:artist:6RFGwX2bAZqXSeXfdqzXUY,I Feel Cool,spotify:album:0E403A9AmdRLuIx99iJ8oW,177853,Lauren Ruth Ward - EP,Lauren Ruth Ward
524,Amandla Stenberg,spotify:track:2vT2lOR19A03pPC1BnqFz5,spotify:artist:0DK7ZkQ9RydhZnOhI6j6Ck,Let My Baby Stay,spotify:album:1U364yhBi3v5U7BvW7tjKb,144933,Let My Baby Stay,Amandla Stenberg
