artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
Jak Woodlawn,5VUglB1pp0iGwJaQ1hJoEz,A Blissful Lie,0.598,0.186,1,-17.559,1,0.0339,0.751,0.00088,0.0826,0.162,111.748,0,unknown,0,['unknown'],low,Neutral
boy cam,1oyqVsLk6KU6B1m7ueApQ5,November Son,0.7,0.21,1,-16.648,1,0.0368,0.925,0.00648,0.371,0.355,119.949,19,unknown,24,['unknown'],low,Neutral
Villagers,2t5USj2lH8pPII6ox2Hch0,Hot Scary Summer,0.638,0.36,0,-9.021,1,0.0334,0.867,0.00137,0.673,0.178,114.815,54,chamber_pop indie_folk indie_rock stomp_and_holler,36,"['chamber_pop', 'indie_folk', 'indie_rock', 'stomp_and_holler']",high,Negative
Sam Bettens,06elnsklBElsBIWgNeLwKH,Brother,0.46,0.541,7,-11.552,1,0.0309,0.231,0.824,0.0734,0.304,92.456,18,unknown,0,['unknown'],low,Neutral
Kae Tempest,67nOd8IqBeaWD2xSg2NuER,Hold Your Own,0.653,0.246,2,-11.141,1,0.11,0.882,4.42e-05,0.111,0.185,95.05,46,lgbtq+_hip_hop slam_poetry,0,"['lgbtq+_hip_hop', 'slam_poetry']",high,Positive
Nakhane,2YThnoRP3m072ODjiWiaN6,New Brighton (feat. ANOHNI),0.553,0.792,2,-7.898,1,0.0396,0.0143,0.0586,0.22,0.489,114.992,30,south_african_alternative south_african_pop,19,"['south_african_alternative', 'south_african_pop']",high,Positive
Ryan Cassata,40YpT3erF0PwY3KyaqOZh0,Steadfast Love,0.353,0.433,0,-7.979,1,0.0291,0.101,1.83e-05,0.176,0.209,91.519,31,transpop,3,['transpop'],high,Positive
Ezra Furman,3UttoFuefvspv7otEjCQyu,The Queen of Hearts,0.699,0.502,7,-8.895,1,0.0254,0.366,0.00013,0.112,0.542,102.008,47,alternative_pop transpop,0,"['alternative_pop', 'transpop']",low,Neutral
Kristóf Hajós,1doXzITOv3Ag0BRTzenrs1,Bitterfly,0.579,0.531,11,-8.449,0,0.0289,0.658,0.93,0.252,0.54,124.951,5,unknown,4,['unknown'],low,Neutral
a balladeer,7C4cuZd8s05UxJzLPh3Mal,Poster Child (For Matthew Shepard),0.34,0.165,6,-10.581,1,0.0349,0.983,0.00122,0.229,0.193,168.228,40,dutch_indie dutch_pop dutch_rock,9,"['dutch_indie', 'dutch_pop', 'dutch_rock']",low,Neutral
